Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$4662.36
,Compute:,US East (N. Virginia),$4661.44
,EBS Volumes:,US East (N. Virginia),$0.4
,EBS IOPS:,US East (N. Virginia),$0
,EBS Throughput:,US East (N. Virginia),$0
,EBS Snapshots:,US East (N. Virginia),$0.52
Amazon S3 Service (US East (N. Virginia)),,,,$47.11
,S3 Standard Storage:,US East (N. Virginia),$47.11
Amazon CloudFront Service,,,,$87.04
,Data Transfer Out:,Global,$87.04
Amazon RDS Service (US East (N. Virginia)),,,,$8658.08
,DB instances:,US East (N. Virginia),$8008.08
,Storage:,US East (N. Virginia),$250
,I/O:,US East (N. Virginia),$400
Amazon Elastic Load Balancing (US East (N. Virginia)),,,,$41.4
,Classic LBs:,US East (N. Virginia),$36.6
,Data Processed by Classic LBs:,US East (N. Virginia),$4.8
Amazon VPC Service (US East (N. Virginia)),,,,$41.94
,NAT Gateway,US East (N. Virginia),$41.94
AWS Data Transfer Out,,,,$92.07
,US East (N. Virginia) Region:,Global,$92.07
AWS Support (Business),,,,$1252.36
,Support for all AWS services:,,$1252.36
,,Free Tier Discount:,,$-24.95
,,Total Monthly Payment:,,$14857.41
